user_id,age_group,content_type,session_duration,scroll_count,notifications,daily_usage_hrs,engagement_level,completion_rate,likes,comments
U0001,18-24,Reels,41.28640828248231,22.0,9.0,3.351784230950642,9.131902601201002,98.18876367858226,35.0,6.0
U0002,55+,Video,38.131844738649804,14.0,4.0,1.4028767800826398,8.295934798191244,83.91226260989242,24.0,9.0
U0004,25-34,Video,39.55904195170703,143.0,8.0,4.652353331579549,6.608333524661432,75.2888279778101,29.0,8.0
U0005,18-24,Reels,23.40909689781008,56.0,15.0,5.6678025926642785,5.156308051077337,82.23736056594964,21.0,7.0
U0006,18-24,Text Posts,5.0539963083685535,199.0,3.0,4.943163670827838,1.0,52.65208187780141,3.0,1.0
U0007,13-17,Reels,16.456373317670156,210.0,9.0,1.1063879548069373,1.8991698672769168,53.94886199847901,10.0,4.0
U0008,45-54,Text Posts,1.0,291.0,6.0,1.4955723022426808,1.0,28.026545938586118,0.0,0.0
U0009,25-34,Video,31.100762934405548,97.0,5.0,1.9141357810996218,5.166164584927412,59.57898959433975,21.0,7.0
U0011,13-17,Video,34.0337632998511,90.0,13.0,4.242481414433512,7.648555766756942,72.83265868822996,24.0,10.0
U0012,55+,Video,30.840330720526413,157.0,7.0,7.458981876667205,5.190154993715345,59.36756134700011,28.0,8.0
U0013,45-54,Images,5.54253939303219,6.0,8.0,5.426633288614785,1.6099770026230336,82.87029757499887,3.0,1.0
U0014,18-24,Video,41.08246191684969,264.0,8.0,3.643085895863776,7.057997628561042,48.28107882010845,31.0,9.0
U0015,18-24,Reels,14.828680800534151,168.0,9.0,2.8167798621499034,1.1477531689406888,48.6916630521191,10.0,2.0
U0016,18-24,Reels,35.760279138434754,10.0,10.0,4.0612560422245725,6.453653971415009,69.53252012069498,24.0,11.0
U0017,18-24,Reels,17.97782981073275,153.0,14.0,4.761658461696658,3.4449227367722424,87.65044184753422,9.0,0.0
U0018,25-34,Images,7.47564762646965,209.0,3.0,5.3164136444949595,1.8777438751327975,57.5805004663295,3.0,1.0
U0019,25-34,Video,20.33214809384323,122.0,4.0,3.066491512917647,4.936296445625827,66.85619819646708,19.0,7.0
U0020,18-24,Stories,12.985978531143633,93.0,8.0,6.787981071505293,2.2393043236744217,75.93278363322088,11.0,3.0
U0021,25-34,Images,24.75312458477979,158.0,9.0,3.433470679099018,5.624342855567238,73.98827492793357,22.0,2.0
U0022,18-24,Stories,23.156280884439564,171.0,13.0,5.274816354417661,3.0336985973740265,60.64087991122408,17.0,10.0
U0023,18-24,Images,24.78422112028035,165.0,5.0,4.005091226146829,6.42300769504177,74.5943272051865,16.0,5.0
U0024,18-24,Video,40.22142545933936,274.0,8.0,2.9685291548791177,6.481614647133347,50.39825883787384,29.0,6.0
U0025,25-34,Reels,16.963301714696307,60.0,4.0,0.5545983813054431,2.898797182047173,73.89424375002866,15.0,4.0
U0026,35-44,Reels,24.692107756724425,232.0,8.0,1.641712106163908,4.234010623971471,51.98026569075671,24.0,4.0
U0027,18-24,Stories,10.198008708825373,153.0,5.0,5.265103308973876,1.0,72.38858006097982,10.0,5.0
